approach,accuracy,ci95_halfwidth,accuracy_on_incidents_that_bounced,net_gain_vs_current_incidents,test_incidents
Today's routing (first assignment),0.6629549158066268,0.010796554409326545,0.11546685673556664,0,7364
Always the most common group,0.48574144486692017,0.011415436544130414,0.2637205987170349,-1305,7364
Routing table (rules from history),0.5586637696903857,0.011341205655365408,0.2466143977191732,-768,7364
Random forest (machine learning),0.6125746876697447,0.01112686197966193,0.33464005702067,-371,7364
